id,title,actor,writer,genre,country,director,rating,score,year,release,runtime
3455,Sympathy for Mr. Vengeance,Kang-ho Song,Jae-sun Lee,Crime,South Korea,Chan-wook Park,R,7.7,2002,3-29-2002,129
3456,The Rookie,Dennis Quaid,Mike Rich,Drama,USA,John Lee Hancock,G,7,2002,3-29-2002,127
3457,Clockstoppers,Jesse Bradford,Rob Hedden,Action,USA,Jonathan Frakes,PG,5.2,2002,3-29-2002,94
3458,Death to Smoochy,Robin Williams,Adam Resnick,Comedy,UK,Danny DeVito,R,6.4,2002,3-29-2002,109
3459,Chopper,Eric Bana,Mark Brandon Read,Biography,Australia,Andrew Dominik,UNRATED,7.2,2000,4-5-2002,94
3460,Kissing Jessica Stein,Jennifer Westfeldt,Heather Juergensen,Comedy,USA,Charles Herman-Wurmfeld,R,6.6,2001,4-5-2002,97
3461,Van Wilder: Party Liaison,Ryan Reynolds,Brent Goldberg,Comedy,Germany,Walt Becker,R,6.4,2002,4-5-2002,92
3462,High Crimes,Jim Caviezel,Joseph Finder,Crime,USA,Carl Franklin,PG-13,6.3,2002,4-5-2002,115
3463,Big Trouble,Tim Allen,Dave Barry,Comedy,USA,Barry Sonnenfeld,PG-13,6.5,2002,4-5-2002,85
3464,Wet Hot American Summer,Janeane Garofalo,Michael Showalter,Comedy,USA,David Wain,R,6.7,2001,4-11-2002,97
3465,Frailty,Bill Paxton,Brent Hanley,Crime,USA,Bill Paxton,R,7.3,2001,4-12-2002,100
3466,Human Nature,Tim Robbins,Charlie Kaufman,Comedy,France,Michel Gondry,R,6.4,2001,4-12-2002,96
3467,The Other Side of Heaven,Christopher Gorham,Mitch Davis,Adventure,USA,Mitch Davis,PG,6.5,2001,4-12-2002,113
3468,The Sweetest Thing,Cameron Diaz,Nancy Pimental,Comedy,USA,Roger Kumble,R,5.1,2002,4-12-2002,88
3469,Changing Lanes,Ben Affleck,Chap Taylor,Drama,USA,Roger Michell,R,6.5,2002,4-12-2002,98
3470,New Best Friend,Taye Diggs,Victoria Strouse,Drama,USA,Zoe Clarke-Williams,R,5.3,2002,4-12-2002,91
3471,The Scorpion King,Dwayne Johnson,Stephen Sommers,Action,USA,Chuck Russell,PG-13,5.5,2002,4-19-2002,92
3472,Murder by Numbers,Sandra Bullock,Tony Gayton,Crime,USA,Barbet Schroeder,R,6.1,2002,4-19-2002,115
3473,Bloody Sunday,James Nesbitt,Paul Greengrass,Drama,UK,Paul Greengrass,R,7.7,2002,4-19-2002,107
3474,Vulgar,Brian O'Halloran,Bryan Johnson,Crime,USA,Bryan Johnson,R,5.3,2000,4-26-2002,87
3475,Y Tu Mamá También,Maribel Verdú,Alfonso Cuarón,Adventure,Mexico,Alfonso Cuarón,R,7.7,2001,4-26-2002,106
3476,Jason X,Kane Hodder,Victor Miller,Action,USA,James Isaac,R,4.4,2001,4-26-2002,91
3477,Monsoon Wedding,Naseeruddin Shah,Sabrina Dhawan,Comedy,India,Mira Nair,R,7.4,2001,4-26-2002,114
3478,Life or Something Like It,Angelina Jolie,John Scott Shepherd,Comedy,USA,Stephen Herek,PG-13,5.8,2002,4-26-2002,103
3479,The Cat's Meow,Kirsten Dunst,Steven Peros,Drama,UK,Peter Bogdanovich,PG-13,6.4,2001,5-3-2002,114
3480,Spider-Man,Tobey Maguire,Stan Lee,Action,USA,Sam Raimi,PG-13,7.3,2002,5-3-2002,121
3481,Hollywood Ending,Woody Allen,Woody Allen,Comedy,USA,Woody Allen,PG-13,6.6,2002,5-3-2002,112
3482,Deuces Wild,Stephen Dorff,Paul Kimatian,Action,USA,Scott Kalvert,R,5.6,2002,5-3-2002,96
3483,Lagaan: Once Upon a Time in India,Aamir Khan,Ashutosh Gowariker,Adventure,India,Ashutosh Gowariker,PG,8.2,2001,5-8-2002,224
3484,The Eye,Angelica Lee,Yuet-Jan Hui,Drama,Hong Kong,Danny Pang,R,6.7,2002,5-9-2002,99
3485,Better Than Sex,David Wenham,Jonathan Teplitzky,Drama,Australia,Jonathan Teplitzky,R,6.4,2000,5-10-2002,95
3486,Italiano para principiantes,Anders W. Berthelsen,Maeve Binchy,Comedy,Denmark,Lone Scherfig,R,7.1,2000,5-10-2002,112
3487,Unfaithful,Richard Gere,Claude Chabrol,Drama,USA,Adrian Lyne,R,6.7,2002,5-10-2002,124
3488,The New Guy,DJ Qualls,David Kendall,Comedy,USA,Ed Decter,PG-13,5.9,2002,5-10-2002,88
3489,Star Wars: Episode II - Attack of the Clones,Hayden Christensen,George Lucas,Action,USA,George Lucas,PG,6.6,2002,5-16-2002,142
3490,About a Boy,Hugh Grant,Nick Hornby,Comedy,UK,Chris Weitz,PG-13,7.1,2002,5-17-2002,101
3491,The Salton Sea,Val Kilmer,Tony Gayton,Crime,USA,D.J. Caruso,R,7.2,2002,5-17-2002,103
3492,Irreversible,Monica Bellucci,Gaspar Noé,Crime,France,Gaspar Noé,NOT RATED,7.4,2002,5-22-2002,97
3493,Tierra de nadie,Branko Djuric,Danis Tanovic,Drama,France,Danis Tanovic,R,8,2001,5-24-2002,98
3494,Insomnia,Al Pacino,Hillary Seitz,Drama,USA,Christopher Nolan,R,7.2,2002,5-24-2002,118
3495,Enough,Jennifer Lopez,Nicholas Kazan,Crime,USA,Michael Apted,PG-13,5.7,2002,5-24-2002,115
3496,Spirit: Stallion of the Cimarron,Matt Damon,John Fusco,Animation,USA,Kelly Asbury,G,7.1,2002,5-24-2002,83
3497,CQ,Jeremy Davies,Roman Coppola,Drama,USA,Roman Coppola,R,6.3,2001,5-31-2002,88
3498,The Sum of All Fears,Ben Affleck,Tom Clancy,Action,USA,Phil Alden Robinson,PG-13,6.4,2002,5-31-2002,124
3499,Undercover Brother,Eddie Griffin,John Ridley,Action,USA,Malcolm D. Lee,PG-13,5.8,2002,5-31-2002,86
3500,Enigma,Dougray Scott,Robert Harris,Drama,UK,Michael Apted,R,6.4,2001,6-7-2002,119
3501,Crush,Andie MacDowell,John McKay,Comedy,UK,John McKay,R,5.9,2001,6-7-2002,108
3502,Bad Company,Anthony Hopkins,Gary M. Goodman,Action,USA,Joel Schumacher,PG-13,5.6,2002,6-7-2002,116
3503,Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock,Rebecca Wells,Drama,USA,Callie Khouri,PG-13,6,2002,6-7-2002,116
3504,Scooby-Doo,Matthew Lillard,James Gunn,Animation,USA,Raja Gosnell,PG,5,2002,6-14-2002,100
3505,The Bourne Identity,Franka Potente,Tony Gilroy,Action,USA,Doug Liman,PG-13,7.9,2002,6-14-2002,119
3506,Windtalkers,Nicolas Cage,John Rice,Action,USA,John Woo,R,6,2002,6-14-2002,134
3507,Minority Report,Tom Cruise,Philip K. Dick,Action,USA,Steven Spielberg,PG-13,7.7,2002,6-21-2002,145
3508,Lilo & Stitch,Daveigh Chase,Chris Sanders,Animation,USA,Dean DeBlois,PG,7.2,2002,6-21-2002,85
3509,The Importance of Being Earnest,Rupert Everett,Oscar Wilde,Comedy,UK,Oliver Parker,PG,6.9,2002,6-21-2002,97
3510,Juwanna Mann,Miguel A. Núñez Jr.,Bradley Allenstein,Comedy,USA,Jesse Vaughan,PG-13,4.5,2002,6-21-2002,91
3511,Bully,Brad Renfro,Jim Schutze,Biography,USA,Larry Clark,R,7,2001,6-28-2002,108
3512,Mr. Deeds,Adam Sandler,Clarence Budington Kelland,Comedy,USA,Steven Brill,PG-13,5.8,2002,6-28-2002,96
3513,Hey Arnold! The Movie,Spencer Klein,Craig Bartlett,Animation,USA,Tuck Tucker,PG,5.9,2002,6-28-2002,76
3514,Men in Black II,Tommy Lee Jones,Lowell Cunningham,Action,USA,Barry Sonnenfeld,PG-13,6.1,2002,7-3-2002,88
3515,Like Mike,Shad Moss,Michael Elliot,Comedy,USA,John Schultz,PG,5.1,2002,7-3-2002,99
3516,The Powerpuff Girls Movie,Cathy Cavadini,Charlie Bean,Animation,USA,Craig McCracken,PG,6.5,2002,7-3-2002,73
3517,Thirteen Conversations About One Thing,Alan Arkin,Karen Sprecher,Drama,USA,Jill Sprecher,R,7.1,2001,7-5-2002,104
3518,Tape,Ethan Hawke,Stephen Belber,Drama,USA,Richard Linklater,R,7.3,2001,7-12-2002,86
3519,Road to Perdition,Tom Hanks,Max Allan Collins,Crime,USA,Sam Mendes,R,7.7,2002,7-12-2002,117
3520,Reign of Fire,Matthew McConaughey,Gregg Chabot,Action,USA,Rob Bowman,PG-13,6.2,2002,7-12-2002,101
3521,Halloween: Resurrection,Jamie Lee Curtis,Debra Hill,Comedy,USA,Rick Rosenthal,R,4.1,2002,7-12-2002,94
3522,Devdas,Shah Rukh Khan,Saratchandra Chatterjee,Musical,India,Sanjay Leela Bhansali,Not specified,7.6,2002,7-12-2002,185
3523,Eight Legged Freaks,David Arquette,Ellory Elkayem,Action,USA,Ellory Elkayem,PG-13,5.4,2002,7-17-2002,99
3524,K-19: The Widowmaker,Harrison Ford,Louis Nowra,Drama,UK,Kathryn Bigelow,PG-13,6.7,2002,7-19-2002,138
3525,Stuart Little 2,Michael J. Fox,E.B. White,Animation,USA,Rob Minkoff,PG,5.4,2002,7-19-2002,77
3526,Read My Lips,Vincent Cassel,Jacques Audiard,Crime,France,Jacques Audiard,R,7.4,2001,7-26-2002,115
3527,Atanarjuat: The Fast Runner,Natar Ungalaaq,Paul Apak Angilirq,Drama,Canada,Zacharias Kunuk,R,7.5,2001,7-26-2002,172
3528,Austin Powers in Goldmember,Mike Myers,Mike Myers,Action,USA,Jay Roach,PG-13,6.2,2002,7-26-2002,94
3529,The Country Bears,Haley Joel Osment,Mark Perez,Comedy,USA,Peter Hastings,G,4,2002,7-26-2002,88
3530,The Weight of Water,Catherine McCormack,Anita Shreve,Crime,USA,Kathryn Bigelow,R,5.9,2000,7-31-2002,100
3531,Lovely & Amazing,Catherine Keener,Nicole Holofcener,Comedy,USA,Nicole Holofcener,R,6.9,2001,8-2-2002,91
3532,Signs,Mel Gibson,M. Night Shyamalan,Drama,USA,M. Night Shyamalan,PG-13,6.7,2002,8-2-2002,106
3533,Casarse... está en griego,Nia Vardalos,Nia Vardalos,Comedy,Canada,Joel Zwick,PG,6.6,2002,8-2-2002,95
3534,The Master of Disguise,Dana Carvey,Dana Carvey,Adventure,USA,Perry Andelin Blake,PG,3.3,2002,8-2-2002,80
3535,Full Frontal,Julia Roberts,Coleman Hough,Comedy,USA,Steven Soderbergh,R,4.8,2002,8-2-2002,101
3536,Spy Kids 2: Island of Lost Dreams,Alexa PenaVega,Robert Rodriguez,Action,USA,Robert Rodriguez,PG,5.1,2002,8-7-2002,100
3537,xXx,Vin Diesel,Rich Wilkes,Action,USA,Rob Cohen,PG-13,5.8,2002,8-9-2002,124
3538,Blood Work,Clint Eastwood,Michael Connelly,Action,USA,Clint Eastwood,R,6.4,2002,8-9-2002,110
3539,Blue Crush,Kate Bosworth,Susan Orlean,Drama,USA,John Stockwell,PG-13,5.6,2002,8-16-2002,104
3540,The Adventures of Pluto Nash,Eddie Murphy,Neil Cuthbert,Comedy,USA,Ron Underwood,PG-13,3.8,2002,8-16-2002,95
3541,Tadpole,Sigourney Weaver,Heather McGowan,Comedy,USA,Gary Winick,PG-13,6.2,2000,8-23-2002,78
3542,Little Secrets,Evan Rachel Wood,Jessica Barondes,Comedy,USA,Blair Treu,PG,6.5,2001,8-23-2002,96
3543,S1m0ne,Al Pacino,Andrew Niccol,Comedy,USA,Andrew Niccol,PG-13,6.1,2002,8-23-2002,117
3544,Undisputed,Wesley Snipes,David Giler,Action,USA,Walter Hill,R,6.2,2002,8-23-2002,100
3545,Lilya 4-Ever,Oksana Akinshina,Lukas Moodysson,Crime,Sweden,Lukas Moodysson,R,7.9,2002,8-23-2002,109
3546,Serving Sara,Matthew Perry,Jay Scherick,Comedy,Germany,Reginald Hudlin,PG-13,5.3,2002,8-23-2002,100
3547,The Good Girl,Jennifer Aniston,Mike White,Drama,USA,Miguel Arteta,R,6.5,2002,8-30-2002,93
3548,Feardotcom,Stephen Dorff,Moshe Diamant,Crime,UK,William Malone,R,3.3,2002,8-30-2002,101
3549,Possession,Gwyneth Paltrow,A.S. Byatt,Drama,USA,Neil LaBute,PG-13,6.4,2002,8-30-2002,102
3550,Heaven,Cate Blanchett,Krzysztof Kieslowski,Crime,UK,Tom Tykwer,R,7.1,2002,8-30-2002,97
3551,Swimfan,Jesse Bradford,Charles F. Bohl,Drama,USA,John Polson,PG-13,5,2002,9-6-2002,85
3552,City by the Sea,Robert De Niro,Mike McAlary,Crime,USA,Michael Caton-Jones,R,6.1,2002,9-6-2002,108
3553,So Close,Qi Shu,Jeffrey Lau,Action,Hong Kong,Corey Yuen,R,6.7,2002,9-12-2002,100
3554,One Hour Photo,Robin Williams,Mark Romanek,Drama,USA,Mark Romanek,R,6.8,2002,9-13-2002,96
3555,Barbershop,Ice Cube,Mark Brown,Comedy,USA,Tim Story,PG-13,6.3,2002,9-13-2002,102
3556,Millennium Actress,Miyoko Shôji,Satoshi Kon,Animation,Japan,Satoshi Kon,PG,7.9,2001,9-14-2002,87
3557,Trapped,Kevin Bacon,Greg Iles,Action,USA,Luis Mandoki,R,6.2,2002,9-20-2002,106
3558,The Four Feathers,Heath Ledger,A.E.W. Mason,Adventure,UK,Shekhar Kapur,PG-13,6.5,2002,9-20-2002,132
3559,24 Hour Party People,Steve Coogan,Frank Cottrell Boyce,Biography,UK,Michael Winterbottom,R,7.4,2002,9-20-2002,117
3560,Ballistic: Ecks vs. Sever,Antonio Banderas,Alan B. McElroy,Action,USA,Wych Kaosayananda,R,3.6,2002,9-20-2002,91
3561,Gerry,Casey Affleck,Casey Affleck,Adventure,USA,Gus Van Sant,R,6.2,2002,9-20-2002,103
3562,The Banger Sisters,Susan Sarandon,Bob Dolman,Comedy,USA,Bob Dolman,R,5.6,2002,9-20-2002,100
3563,Mostly Martha,Martina Gedeck,Sandra Nettelbeck,Comedy,Germany,Sandra Nettelbeck,PG,7.3,2001,9-27-2002,109
3564,Sweet Home Alabama,Reese Witherspoon,Douglas J. Eboch,Comedy,USA,Andy Tennant,PG-13,6.2,2002,9-27-2002,108
3565,The Tuxedo,Jackie Chan,Phil Hay,Action,USA,Kevin Donovan,PG-13,5.3,2002,9-27-2002,98
3566,Dragón rojo,Anthony Hopkins,Thomas Harris,Crime,Germany,Brett Ratner,R,7.2,2002,10-4-2002,124
3567,Moonlight Mile,Jake Gyllenhaal,Brad Silberling,Drama,USA,Brad Silberling,PG-13,6.7,2002,10-4-2002,112
3568,8 Women,Fanny Ardant,François Ozon,Comedy,France,François Ozon,R,7.1,2002,10-4-2002,111
3569,Igby Goes Down,Kieran Culkin,Burr Steers,Comedy,USA,Burr Steers,R,7,2002,10-4-2002,98
3570,Sweet Sixteen,Martin Compston,Paul Laverty,Crime,UK,Ken Loach,R,7.5,2002,10-4-2002,106
3571,Knockaround Guys,Jennifer Baxter,Brian Koppelman,Crime,USA,Brian Koppelman,R,6.1,2001,10-11-2002,92
3572,Secretary,James Spader,Erin Cressida Wilson,Comedy,USA,Steven Shainberg,R,7,2002,10-11-2002,107
3573,The Transporter,Jason Statham,Luc Besson,Action,France,Louis Leterrier,PG-13,6.8,2002,10-11-2002,92
3574,The Rules of Attraction,James Van Der Beek,Bret Easton Ellis,Comedy,Germany,Roger Avary,R,6.7,2002,10-11-2002,110
3575,Tuck Everlasting,Alexis Bledel,Natalie Babbitt,Drama,USA,Jay Russell,PG,6.7,2002,10-11-2002,90
3576,Swept Away,Madonna,Guy Ritchie,Comedy,UK,Guy Ritchie,R,3.6,2002,10-11-2002,89
3577,White Oleander,Michelle Pfeiffer,Janet Fitch,Drama,USA,Peter Kosminsky,PG-13,7.2,2002,10-11-2002,109
3578,Brown Sugar,Taye Diggs,Michael Elliot,Romance,USA,Rick Famuyiwa,PG-13,6.5,2002,10-11-2002,109
3579,Secret Things,Coralie Revel,Jean-Claude Brisseau,Comedy,France,Jean-Claude Brisseau,UNRATED,6.1,2002,10-16-2002,115
3580,Formula 51,Samuel L. Jackson,Stel Pavlou,Action,UK,Ronny Yu,R,6.3,2001,10-18-2002,93
3581,The Ring,Naomi Watts,Ehren Kruger,Horror,USA,Gore Verbinski,PG-13,7.1,2002,10-18-2002,115
3582,Below,Bruce Greenwood,Lucas Sussman,Horror,USA,David Twohy,R,6.2,2002,10-18-2002,105
3583,Abandon,Katie Holmes,Stephen Gaghan,Drama,USA,Stephen Gaghan,PG-13,4.9,2002,10-18-2002,99
3584,Welcome to Collinwood,George Clooney,Anthony Russo,Comedy,USA,Anthony Russo,R,6.4,2002,10-18-2002,86
3585,Ghost Ship,Julianna Margulies,Mark Hanlon,Horror,USA,Steve Beck,R,5.5,2002,10-25-2002,91
3586,Paid in Full,Mekhi Phifer,Azie Faison Jr.,Action,USA,Charles Stone III,R,7.1,2002,10-25-2002,97
3587,The Truth About Charlie,Mark Wahlberg,Peter Stone,Mystery,Germany,Jonathan Demme,PG-13,4.8,2002,10-25-2002,104
3588,Buffalo Soldiers,Joaquin Phoenix,Robert O'Connor,Comedy,UK,Gregor Jordan,R,6.9,2001,10-31-2002,98
3589,Punch-Drunk Love,Adam Sandler,Paul Thomas Anderson,Comedy,USA,Paul Thomas Anderson,R,7.3,2002,11-1-2002,95
3590,The Santa Clause 2,Tim Allen,Don Rhymer,Comedy,USA,Michael Lembeck,G,5.6,2002,11-1-2002,104
3591,I Spy,Eddie Murphy,Morton S. Fine,Action,USA,Betty Thomas,PG-13,5.4,2002,11-1-2002,97
3592,Auto Focus,Greg Kinnear,Robert Graysmith,Biography,USA,Paul Schrader,R,6.6,2002,11-1-2002,105
3593,Morvern Callar,Samantha Morton,Lynne Ramsay,Drama,UK,Lynne Ramsay,R,6.8,2002,11-1-2002,97
3594,Mujer fatal,Rebecca Romijn,Brian De Palma,Crime,France,Brian De Palma,R,6.3,2002,11-6-2002,114
3595,Dog Days,Maria Hofstätter,Veronika Franz,Drama,Austria,Ulrich Seidl,R,7.1,2001,11-8-2002,121
3596,8 Mile,Eminem,Scott Silver,Drama,USA,Curtis Hanson,R,7,2002,11-8-2002,110
3597,Real Women Have Curves,America Ferrera,Josefina Lopez,Comedy,USA,Patricia Cardoso,PG-13,7,2002,11-8-2002,90
3598,Spider,Ralph Fiennes,Patrick McGrath,Drama,Canada,David Cronenberg,R,6.8,2002,11-13-2002,98
3599,The Experiment,Moritz Bleibtreu,Mario Giordano,Drama,Germany,Oliver Hirschbiegel,R,7.8,2001,11-15-2002,114
3600,Harry Potter and the Chamber of Secrets,Daniel Radcliffe,J.K. Rowling,Adventure,UK,Chris Columbus,PG,7.4,2002,11-15-2002,161
3601,Half Past Dead,Morris Chestnut,Don Michael Paul,Action,USA,Don Michael Paul,PG-13,4.6,2002,11-15-2002,98
3602,Die Another Day,Pierce Brosnan,Ian Fleming,Action,UK,Lee Tamahori,PG-13,6.1,2002,11-22-2002,133
3603,Frida,Salma Hayek,Hayden Herrera,Biography,USA,Julie Taymor,R,7.4,2002,11-22-2002,123
3604,Friday After Next,Ice Cube,Ice Cube,Comedy,USA,Marcus Raboy,R,5.8,2002,11-22-2002,85
3605,Bundy,Michael Reilly Burke,Stephen Johnston,Biography,UK,Matthew Bright,R,5.9,2002,11-22-2002,99
3606,The Emperor's Club,Kevin Kline,Ethan Canin,Drama,USA,Michael Hoffman,PG-13,6.9,2002,11-22-2002,109
3607,Roger Dodger,Campbell Scott,Dylan Kidd,Comedy,USA,Dylan Kidd,R,7,2002,11-22-2002,106
3608,Treasure Planet,Joseph Gordon-Levitt,Robert Louis Stevenson,Animation,USA,Ron Clements,PG,7.1,2002,11-27-2002,95
3609,Solaris,George Clooney,Stanislaw Lem,Drama,USA,Steven Soderbergh,PG-13,6.2,2002,11-27-2002,99
3610,Eight Crazy Nights,Adam Sandler,Brooks Arthur,Animation,USA,Seth Kearsley,PG-13,5.3,2002,11-27-2002,76
3611,They,Laura Regan,Brendan Hood,Horror,USA,Robert Harmon,PG-13,4.8,2002,11-27-2002,89
3612,Equilibrium,Christian Bale,Kurt Wimmer,Action,USA,Kurt Wimmer,R,7.5,2002,12-6-2002,107
3613,Analyze That,Robert De Niro,Kenneth Lonergan,Comedy,USA,Harold Ramis,R,5.9,2002,12-6-2002,96
3614,Empire,John Leguizamo,Franc. Reyes,Crime,USA,Franc. Reyes,R,6,2002,12-6-2002,90
3615,Infernal Affairs,Andy Lau,Alan Mak,Crime,Hong Kong,Wai-Keung Lau,R,8.1,2002,12-12-2002,101
3616,Star Trek: Nemesis,Patrick Stewart,Gene Roddenberry,Action,USA,Stuart Baird,PG-13,6.4,2002,12-13-2002,116
3617,The Hot Chick,Rob Schneider,Tom Brady,Comedy,USA,Tom Brady,PG-13,5.5,2002,12-13-2002,104
3618,Maid in Manhattan,Jennifer Lopez,John Hughes,Comedy,USA,Wayne Wang,PG-13,5.1,2002,12-13-2002,105
3619,Drumline,Nick Cannon,Shawn Schepps,Comedy,USA,Charles Stone III,PG-13,5.7,2002,12-13-2002,118
3620,Waking Up in Reno,Billy Bob Thornton,Brent Briscoe,Comedy,USA,Jordan Brady,R,5.5,2002,12-13-2002,91
3621,El crimen del padre Amaro,Gael García Bernal,Vicente Leñero,Drama,Mexico,Carlos Carrera,R,6.8,2002,12-13-2002,100
3622,The Lord of the Rings: The Two Towers,Elijah Wood,J.R.R. Tolkien,Adventure,USA,Peter Jackson,PG-13,8.7,2002,12-18-2002,179
3623,Sex and Lucia,Paz Vega,Julio Medem,Drama,Spain,Julio Medem,R,7.2,2001,12-20-2002,128
3624,Gangs of New York,Leonardo DiCaprio,Jay Cocks,Crime,USA,Martin Scorsese,R,7.5,2002,12-20-2002,167
3625,Two Weeks Notice,Sandra Bullock,Marc Lawrence,Comedy,USA,Marc Lawrence,PG-13,6.1,2002,12-20-2002,101
3626,The Wild Thornberrys Movie,Tim Curry,Arlene Klasky,Animation,USA,Cathy Malkasian,PG,5.3,2002,12-20-2002,85
3627,Catch Me If You Can,Leonardo DiCaprio,Jeff Nathanson,Biography,USA,Steven Spielberg,PG-13,8.1,2002,12-25-2002,141
3628,Evelyn,Pierce Brosnan,Paul Pender,Drama,Germany,Bruce Beresford,PG,7,2002,12-25-2002,94
3629,Pinocchio,Roberto Benigni,Roberto Benigni,Comedy,Italy,Roberto Benigni,G,4.2,2002,12-25-2002,108
3630,About Schmidt,Jack Nicholson,Louis Begley,Comedy,USA,Alexander Payne,R,7.2,2002,1-3-2003,125
3631,25th Hour,Edward Norton,David Benioff,Drama,USA,Spike Lee,R,7.7,2002,1-10-2003,135
3632,Far from Heaven,Julianne Moore,Todd Haynes,Drama,USA,Todd Haynes,PG-13,7.4,2002,1-10-2003,107
3633,Antwone Fisher,Denzel Washington,Antwone Fisher,Biography,USA,Denzel Washington,PG-13,7.3,2002,1-10-2003,120
3634,Narc,Ray Liotta,Joe Carnahan,Crime,USA,Joe Carnahan,R,7.2,2002,1-10-2003,105
3635,Just Married,Ashton Kutcher,Sam Harper,Comedy,USA,Shawn Levy,PG-13,5.4,2003,1-10-2003,95
3636,It's All About Love,Joaquin Phoenix,Mogens Rukov,Drama,Italy,Thomas Vinterberg,R,5.5,2003,1-10-2003,100
3637,Kangaroo Jack,Anthony Anderson,Steve Bing,Action,USA,David McNally,PG,4.4,2003,1-17-2003,89
3638,National Security,Martin Lawrence,Jay Scherick,Action,USA,Dennis Dugan,PG-13,5.6,2003,1-17-2003,88
3639,A Guy Thing,Jason Lee,Greg Glienna,Comedy,USA,Chris Koch,PG-13,5.6,2003,1-17-2003,101
3640,Chicago,Renée Zellweger,Bill Condon,Comedy,USA,Rob Marshall,PG-13,7.2,2002,1-24-2003,113
3641,Confessions of a Dangerous Mind,Sam Rockwell,Chuck Barris,Biography,USA,George Clooney,R,7.1,2002,1-24-2003,113
3642,Darkness Falls,Chaney Kley,Joe Harris,Horror,USA,Jonathan Liebesman,PG-13,5,2003,1-24-2003,86
3643,Ju-on: The Grudge,Megumi Okina,Takashi Shimizu,Horror,Japan,Takashi Shimizu,R,6.7,2002,1-25-2003,92
3644,Taxi 3,Samy Naceri,Luc Besson,Action,France,Gérard Krawczyk,NOT RATED,5.8,2003,1-29-2003,84
3645,Son of the Bride,Ricardo Darín,Juan José Campanella,Comedy,Argentina,Juan José Campanella,R,7.9,2001,1-31-2003,123
3646,Cerca de la libertad,Everlyn Sampi,Doris Pilkington,Adventure,Australia,Phillip Noyce,PG,7.5,2002,1-31-2003,94
3647,Final Destination 2,A.J. Cook,J. Mackye Gruber,Horror,USA,David R. Ellis,R,6.2,2003,1-31-2003,90
3648,The Recruit,Al Pacino,Roger Towne,Action,USA,Roger Donaldson,PG-13,6.6,2003,1-31-2003,115
3649,Biker Boyz,Laurence Fishburne,Michael Gougis,Action,USA,Reggie Rock Bythewood,PG-13,4.6,2003,1-31-2003,110
3650,Wasabi,Jean Reno,Luc Besson,Action,France,Gérard Krawczyk,R,6.6,2001,2-7-2003,94
3651,Spun,Jason Schwartzman,Will De Los Santos,Comedy,USA,Jonas Åkerlund,R,6.8,2002,2-7-2003,101
3652,How to Lose a Guy in 10 Days,Kate Hudson,Michele Alexander,Comedy,USA,Donald Petrie,PG-13,6.4,2003,2-7-2003,116
3653,Shanghai Knights,Jackie Chan,Alfred Gough,Action,USA,David Dobkin,PG-13,6.2,2003,2-7-2003,114
3654,Deliver Us from Eva,Gabrielle Union,James Iver Mattson,Comedy,USA,Gary Hardwick,R,6.1,2003,2-7-2003,105
3655,The Hours,Meryl Streep,Michael Cunningham,Drama,USA,Stephen Daldry,PG-13,7.6,2002,2-14-2003,110
3656,Adaptation.,Nicolas Cage,Susan Orlean,Comedy,USA,Spike Jonze,R,7.7,2002,2-14-2003,114
3657,Talk to Her,Rosario Flores,Pedro Almodóvar,Drama,Spain,Pedro Almodóvar,R,8,2002,2-14-2003,112
3658,The Guru,Jimi Mistry,Tracey Jackson,Comedy,UK,Daisy von Scherler Mayer,R,5.4,2002,2-14-2003,94
3659,Daredevil,Ben Affleck,Mark Steven Johnson,Action,USA,Mark Steven Johnson,PG-13,5.3,2003,2-14-2003,103
3660,The Jungle Book 2,John Goodman,Karl Geurs,Animation,USA,Steve Trenbirth,G,5.4,2003,2-14-2003,72
3661,Dark Blue,Kurt Russell,James Ellroy,Action,USA,Ron Shelton,R,6.6,2002,2-21-2003,118
3662,Old School,Luke Wilson,Court Crandall,Comedy,USA,Todd Phillips,R,7.2,2003,2-21-2003,88
3663,The Life of David Gale,Kevin Spacey,Charles Randolph,Crime,USA,Alan Parker,R,7.6,2003,2-21-2003,130
3664,Gods and Generals,Stephen Lang,Jeff Shaara,Biography,USA,Ron Maxwell,PG-13,6.3,2003,2-21-2003,219
3665,Poolhall Junkies,Mars Callahan,Mars Callahan,Comedy,USA,Mars Callahan,R,7,2002,2-28-2003,99
3666,Cradle 2 the Grave,Jet Li,John O'Brien,Action,USA,Andrzej Bartkowiak,R,5.8,2003,2-28-2003,101
3667,The Quiet American,Michael Caine,Graham Greene,Drama,UK,Phillip Noyce,R,7.1,2002,3-7-2003,101
3668,The Man Without a Past,Markku Peltola,Aki Kaurismäki,Comedy,Finland,Aki Kaurismäki,PG-13,7.7,2002,3-7-2003,97
3669,Tears of the Sun,Bruce Willis,Alex Lasker,Action,USA,Antoine Fuqua,R,6.6,2003,3-7-2003,121
3670,Bringing Down the House,Steve Martin,Jason Filardi,Comedy,USA,Adam Shankman,PG-13,5.6,2003,3-7-2003,105
3671,La vida sin mí,Sarah Polley,Isabel Coixet,Drama,Spain,Isabel Coixet,R,7.6,2003,3-7-2003,106
3672,Dahmer,Jeremy Renner,David Jacobson,Biography,USA,David Jacobson,R,5.6,2002,3-13-2003,101
